ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.30000000000000004	0.0	0.15000000000000002	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111112
1.5	0.3500000000000001	0.0	0.17500000000000004	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444443
2.5	0.2999999999999998	0.0	0.1499999999999999	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111107
3.5	0.3500000000000001	0.0	0.17500000000000004	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444443
4.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
5.5	0.3000000000000007	0.0	0.15000000000000036	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111123
6.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
7.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
8.5	0.3000000000000007	0.0	0.15000000000000036	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111123
9.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
10.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
11.5	0.3000000000000007	0.0	0.15000000000000036	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111123
12.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
13.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
14.5	0.3000000000000007	0.0	0.15000000000000036	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111123
15.5	0.34999999999999964	0.0	0.17499999999999982	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444437
16.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
17.5	0.29999999999999716	0.0	0.14999999999999858	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111062
18.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
19.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
20.5	0.29999999999999716	0.0	0.14999999999999858	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111062
21.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
22.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
23.5	0.29999999999999716	0.0	0.14999999999999858	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111062
24.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
25.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
26.5	0.29999999999999716	0.0	0.14999999999999858	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16111111111111062
27.5	0.3500000000000014	0.0	0.1750000000000007	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.16944444444444465
