Clock(s)	TappedContent	OrderOfKeyTapped
2.211	h	1
2.696	e	2
3.08	a	3
3.669	l	4
4.186	t	5
4.569	h	6
4.927	y	7
5.384	space	8
5.793	f	9
6.311	o	10
6.519	o	11
7.062	d	12
7.47	space	13
7.927	i	14
8.47	s	15
8.878	space	16
9.287	g	17
9.773	o	18
9.981	o	19
10.524	d	20
10.932	space	21
11.341	f	22
11.859	o	23
12.39	r	24
12.847	space	25
13.304	y	26
13.771	o	27
14.188	u	28
14.645	space	29
15.208	send	30
22.283	l	1
22.641	o	2
23.064	n	3
23.439	g	4
23.882	e	5
24.24	r	6
24.697	space	7
25.154	t	8
25.537	h	9
26.068	a	10
26.608	n	11
26.966	space	12
27.47	a	13
27.877	space	14
28.286	f	15
28.804	o	16
29.012	o	17
29.515	t	18
29.924	b	19
30.438	a	20
31.027	l	21
31.235	l	22
31.642	space	23
32.051	f	24
32.537	i	25
33.068	e	26
33.632	l	27
34.186	d	28
34.594	space	29
35.157	send	30
42.276	i	1
42.733	space	2
43.219	w	3
43.773	i	4
44.156	l	5
44.364	l	6
44.771	space	7
45.284	p	8
45.751	u	9
46.168	t	10
46.625	space	11
47.106	o	12
47.529	n	13
47.887	space	14
48.322	m	15
48.731	y	16
49.188	space	17
49.597	g	18
50.1	l	19
50.689	a	20
51.047	s	21
51.255	s	22
51.613	e	23
51.971	s	24
52.379	space	25
52.942	send	26
62.392	a	1
62.799	space	2
63.234	m	3
63.643	o	4
64.207	s	5
64.651	t	6
65.108	space	7
65.565	r	8
66.068	i	9
66.586	d	10
67.104	i	11
67.609	c	12
68.079	u	13
68.522	l	14
68.88	o	15
69.297	u	16
69.815	s	17
70.223	space	18
70.68	t	19
71.063	h	20
71.447	i	21
71.856	n	22
72.231	g	23
72.64	space	24
73.203	send	25
82.392	a	1
82.799	space	2
83.208	f	3
83.591	e	4
83.799	e	5
84.363	l	6
84.746	i	7
85.155	n	8
85.53	g	9
85.939	space	10
86.42	o	11
86.938	f	12
87.347	space	13
87.743	c	14
88.276	o	15
88.685	m	16
89.108	p	17
89.466	l	18
90.03	e	19
90.447	t	20
90.864	e	21
91.321	space	22
91.778	e	23
92.187	x	24
92.562	a	25
92.92	s	26
93.501	p	27
94.074	e	28
94.432	r	29
94.876	a	30
95.362	t	31
95.829	i	32
96.187	o	33
96.61	n	34
96.968	space	35
97.531	send	36
102.314	h	1
102.845	a	2
103.327	v	3
103.736	e	4
104.193	space	5
104.697	a	6
105.104	space	7
105.513	g	8
105.999	o	9
106.207	o	10
106.75	d	11
107.158	space	12
107.644	w	13
108.002	e	14
108.21	e	15
108.753	k	16
109.296	e	17
109.794	n	18
110.276	d	19
110.684	space	20
111.247	send	21
122.346	t	1
122.729	h	2
123.214	e	3
123.671	space	4
124.184	p	5
124.601	i	6
125.106	c	7
125.626	k	8
126.169	e	9
126.586	t	10
127.043	space	11
127.542	l	12
127.925	i	13
128.334	n	14
128.832	e	15
129.289	space	16
129.698	g	17
130.142	i	18
130.612	v	19
131.021	e	20
131.379	s	21
131.787	space	22
132.222	m	23
132.749	e	24
133.206	space	25
133.663	t	26
134.046	h	27
134.531	e	28
134.988	space	29
135.384	c	30
135.833	h	31
136.217	i	32
136.6	l	33
136.808	l	34
137.381	s	35
137.789	space	36
138.352	send	37
142.276	i	1
142.733	space	2
143.144	j	3
143.502	u	4
144.02	s	5
144.464	t	6
144.921	space	7
145.317	c	8
145.756	a	9
146.296	n	10
146.504	n	11
146.927	o	12
147.43	t	13
147.887	space	14
148.296	f	15
148.782	i	16
149.226	g	17
149.61	u	18
150.077	r	19
150.435	e	20
150.892	space	21
151.349	t	22
151.732	h	23
152.116	i	24
152.659	s	25
153.067	space	26
153.548	o	27
153.965	u	28
154.382	t	29
154.839	space	30
155.402	send	31
162.346	t	1
162.729	h	2
163.214	e	3
163.671	space	4
164.184	p	5
164.542	o	6
165.106	s	7
165.55	t	8
166.036	a	9
166.625	l	10
167.032	space	11
167.501	s	12
167.859	e	13
168.217	r	14
168.626	v	15
169.096	i	16
169.601	c	17
170.01	e	18
170.467	space	19
170.924	i	20
171.467	s	21
171.875	space	22
172.233	v	23
172.642	e	24
